wmpnetwk,7224 kB
SMSvcHost,26996 kB
svchost,4940 kB
atiesrxx,1764 kB
MOM,25340 kB
armsvc,1228 kB
btwdins,2368 kB
dwm,36480 kB
chrome,19192 kB
chrome,31800 kB
chrome,26116 kB
svchost,2232 kB
taskmgr,4292 kB
WLIDSVC,7600 kB
OSPPSVC,4184 kB
spoolsv,8976 kB
chrome,20124 kB
notepad++,12380 kB
atieclxx,2828 kB
sqlwriter,2232 kB
opera_plugin_wrapper,16260 kB
chrome,22588 kB
csrss,2728 kB
SearchIndexer,49192 kB
chrome,50252 kB
mstsc,33760 kB
KMService,1172 kB
svchost,6632 kB
chrome,160624 kB
lsm,2928 kB
cmd,2348 kB
TortoiseHgOverlayServer,12240 kB
lsass,7872 kB
chrome,20184 kB
chrome,36592 kB
svchost,12248 kB
viewer,2604 kB
taskhost,9128 kB
svchost,20328 kB
fdm,42584 kB
ETDCtrlHelper,3000 kB
winlogon,3392 kB
chrome,4024 kB
svchost,9868 kB
ipy,25440 kB
chrome,93224 kB
ZuneLauncher,2028 kB
chrome,30728 kB
chrome,8024 kB
GitHub,150152 kB
svchost,5872 kB
avp,323612 kB
srvany,880 kB
svchost,18044 kB
explorer,66008 kB
chrome,40196 kB
chrome,54076 kB
svchost,9636 kB
services,6772 kB
viewer,2572 kB
avp,33224 kB
svchost,3380 kB
chrome,35016 kB
POWERPNT,57820 kB
ETDCtrl,4800 kB
WLIDSVCM,1496 kB
RAVBg64,10428 kB
CCC,80932 kB
Uncom,36100 kB
wininit,1740 kB
YandexDisk,12504 kB
chrome,56740 kB
svchost,183204 kB
RAVCpl64,9444 kB
chrome,5132 kB
chrome,79416 kB
CISVC,1808 kB
csrss,4200 kB
Fuel.Service,2188 kB
svchost,5792 kB
conhost,2340 kB
svchost,32888 kB
ssh-agent,2772 kB
conhost,1196 kB
chrome,40036 kB
svchost,2576 kB
smss,548 kB
opera,2222508 kB
System,164 kB
Idle,0 kB
